ISO_639	Language_Name	Uninverted_Name	Country_Code	Country_Name	Region_Code	Region_Name	Area	L1_Users	Digits	All_Users	Countries	Family	Classification	Latitude	Longitude	EGIDS	Is_Written	Institutional	Developing	Vigorous	In_Trouble	Dying	Extinct
gni	Gooniyandi	Gooniyandi	AU	Australia	ANZ	Australia and New Zealand	Pacific	130	3	130	1	Australian	Australian, Bunaban	-18.3907	126.3163	8a	T	0	0	0	0	1	0
gnj	Ngen	Ngen	CI	Côte d’Ivoire	WAF	Western Africa	Africa	770	3	770	1	Niger-Congo	Niger-Congo, Mande, Eastern, Southeastern, Nwa-Ben, Ben-Gban	7.7761	-3.9975	6b	F	0	0	0	1	0	0
gnk	ǁGana	ǁGana	BW	Botswana	SAF	Southern Africa	Africa	1030	4	1030	1	Khoe-Kwadi	Khoe-Kwadi, Khoe, Kalahari Khoe, Southwest	-21.7807	22.3135	6b	F	0	0	0	1	0	0
gnl	Gangulu	Gangulu	AU	Australia	ANZ	Australia and New Zealand	Pacific	0	0	0	1	Australian	Australian, Pama-Nyungan, Maric	-22.8521	149.3409	x10	F	0	0	0	0	0	1
gnm	Ginuman	Ginuman	PG	Papua New Guinea	MEL	Melanesia	Pacific	1440	4	1440	1	Trans-New Guinea	Trans-New Guinea, Southeast Papuan, Dagan	-9.9926	149.7624	6a	F	0	0	1	0	0	0
gnn	Gumatj	Gumatj	AU	Australia	ANZ	Australia and New Zealand	Pacific	120	3	120	1	Australian	Australian, Pama-Nyungan, Yuulngu, Dhuwal	-12.2553	136.8239	6b	T	0	0	0	1	0	0
gno	Gondi, Northern	Northern Gondi	IN	India	SAS	Southern Asia	Asia	1950000	7	1950000	1	Dravidian	Dravidian, South-Central, Gondi-Kui, Gondi	22.4744	80.2809	5	T	0	1	0	0	0	0
gnq	Gana	Gana	MY	Malaysia	SEA	South-Eastern Asia	Asia	250	3	250	1	Austronesian	Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Murutic, Unclassified	5.4232	116.1882	8a	T	0	0	0	0	1	0
gnr	Gureng Gureng	Gureng Gureng	AU	Australia	ANZ	Australia and New Zealand	Pacific	0	0		1	Australian	Australian, Pama-Nyungan, Waka-Kabic, Than	-25.1055	151.0208	9	F	0	0	0	0	1	0
gnt	Guntai	Guntai	PG	Papua New Guinea	MEL	Melanesia	Pacific	430	3	430	1	South-Central Papuan	South-Central Papuan, Morehead-Upper Maro, Tonda	-8.7946	141.2845	6a	F	0	0	1	0	0	0
gnu	Gnau	Gnau	PG	Papua New Guinea	MEL	Melanesia	Pacific	1330	4	1330	1	Torricelli	Torricelli, Wapei-Palei, Wapei	-3.6087	142.2515	6a	F	0	0	1	0	0	0
gnw	Guaraní, Western Bolivian	Western Bolivian Guaraní	BO	Bolivia	SAM	South America	Americas	7000	4	7000	1	Tupian	Tupian, Tupí-Guaraní, Guaraní, Guaraní, Bolivian Guaraní	-20.4364	-64.1013	6a	T	0	0	1	0	0	0
gnz	Ganzi	Ganzi	CF	Central African Republic	MAF	Middle Africa	Africa	1400	4	1400	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Sere-Ngbaka-Mba, Ngbaka-Mba, Ngbaka, Western, Baka-Gundi	6.5547	19.3150	6b	F	0	0	0	1	0	0
goa	Guro	Guro	CI	Côte d’Ivoire	WAF	Western Africa	Africa	500000	6	500000	1	Niger-Congo	Niger-Congo, Mande, Eastern, Southeastern, Guro-Tura, Guro-Yaoure	6.7560	-5.6802	5	T	0	1	0	0	0	0
gob	Playero	Playero	CO	Colombia	SAM	South America	Americas	350	3	350	2	Guajiboan	Guajiboan, Guajibo	7.0740	-71.0025	6b	F	0	0	0	1	0	0
goc	Gorakor	Gorakor	PG	Papua New Guinea	MEL	Melanesia	Pacific	2740	4	2740	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Huon Gulf, South, Hote-Buang, Buang, Mumeng	-6.8500	146.5471	6a	T	0	0	1	0	0	0
god	Godié	Godié	CI	Côte d’Ivoire	WAF	Western Africa	Africa	26400	5	26400	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Eastern, Bete, Western	5.4087	-5.8555	5	T	0	1	0	0	0	0
goe	Gongduk	Gongduk	BT	Bhutan	SAS	Southern Asia	Asia	2100	4	2100	1	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish	27.0659	91.1680	6b	F	0	0	0	1	0	0
gof	Gofa	Gofa	ET	Ethiopia	EAF	Eastern Africa	Africa	359000	6	392400	1	Afro-Asiatic	Afro-Asiatic, Omotic, North, Gonga-Gimojan, Gimojan, Ometo-Gimira, Ometo, Central	6.4917	37.0391	4	T	1	0	0	0	0	0
gog	Gogo	Gogo	TZ	Tanzania	EAF	Eastern Africa	Africa	1080000	7	1080000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, G, Gogo-Kagulu (G.11)	-6.2429	35.6428	5	T	0	1	0	0	0	0
goi	Gobasi	Gobasi	PG	Papua New Guinea	MEL	Melanesia	Pacific	900	3	900	1	Trans-New Guinea	Trans-New Guinea, East Strickland	-6.3934	142.2031	6a	T	0	0	1	0	0	0
goj	Gowlan	Gowlan	IN	India	SAS	Southern Asia	Asia	20200	5	20200	1	Indo-European	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Unclassified	21.3849	77.0749	6a	F	0	0	1	0	0	0
gok	Gowli	Gowli	IN	India	SAS	Southern Asia	Asia	35000	5	35000	1	Indo-European	Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Unclassified	21.0303	77.6903	6a	T	0	0	1	0	0	0
gol	Gola	Gola	LR	Liberia	WAF	Western Africa	Africa	166000	6	166000	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Atlantic, Southern, Mel, Gola	7.3360	-10.7598	5	T	0	1	0	0	0	0
gom	Konkani, Goan	Goan Konkani	IN	India	SAS	Southern Asia	Asia	3693900	7	3693900	2	Indo-European	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Konkani	14.9793	74.2847	5	T	0	1	0	0	0	0
goo	Gone Dau	Gone Dau	FJ	Fiji	MEL	Melanesia	Pacific	800	3	800	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, East Fijian	-16.5884	178.5960	6a	F	0	0	1	0	0	0
gop	Yeretuar	Yeretuar	ID	Indonesia	SEA	South-Eastern Asia	Asia	350	3	350	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera-West New Guinea, West New Guinea, Cenderawasih Bay, Yeretuar	-2.9988	134.6622	7	F	0	0	0	1	0	0
goq	Gorap	Gorap	ID	Indonesia	SEA	South-Eastern Asia	Asia	1000	4	1000	1	Austronesian	Austronesian, Malayo-Polynesian, Unclassified	2.1331	128.2604	7	F	0	0	0	1	0	0
gor	Gorontalo	Gorontalo	ID	Indonesia	SEA	South-Eastern Asia	Asia	505000	6	505000	1	Austronesian	Austronesian, Malayo-Polynesian, Greater Central Philippine, Gorontalo-Mongondow, Gorontalic	0.6269	122.2876	6b	T	0	0	0	1	0	0
gos	Gronings	Gronings	NL	Netherlands	WEU	Western Europe	Europe	262000	6	262000	1	Indo-European	Indo-European, Germanic, West, Low Saxon-Low Franconian, Low Saxon	53.2842	6.6980	5	T	0	1	0	0	0	0
gou	Gavar	Gavar	CM	Cameroon	MAF	Middle Africa	Africa	15000	5	15000	1	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.7	10.5582	13.7603	6a	T	0	0	1	0	0	0
gow	Gorowa	Gorowa	TZ	Tanzania	EAF	Eastern Africa	Africa	113000	6	113000	1	Afro-Asiatic	Afro-Asiatic, Cushitic, South	-4.2347	35.7804	6a	F	0	0	1	0	0	0
gox	Gobu	Gobu	CD	Democratic Republic of the Congo	MAF	Middle Africa	Africa	12000	5	12000	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Banda, Central, Central Core, Mid-Southern	4.9219	19.2839	6a	F	0	0	1	0	0	0
goy	Goundo	Goundo	TD	Chad	MAF	Middle Africa	Africa	30	2	30	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Adamawa, Mbum-Day, Kim	9.4674	16.2541	8a	F	0	0	0	0	1	0
goz	Gozarkhani	Gozarkhani	IR	Iran	SAS	Southern Asia	Asia				1	Indo-European	Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Talysh	36.5784	49.2570	7	F	0	0	0	1	0	0
gpa	Gupa-Abawa	Gupa-Abawa	NG	Nigeria	WAF	Western Africa	Africa	15000	5	15000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Nupoid, Nupe-Gbagyi, Nupe	8.3849	6.7215	6a	F	0	0	1	0	0	0
gpe	Ghanaian Pidgin English	Ghanaian Pidgin English	GH	Ghana	WAF	Western Africa	Africa	5000000	7	5002000	1	Creole	Creole, English based, Atlantic, Krio	5.5617	-0.2019	3	F	1	0	0	0	0	0
gpn	Taiap	Taiap	PG	Papua New Guinea	MEL	Melanesia	Pacific	50	2	50	1	Language isolate	Language isolate	-4.0456	144.5019	8a	F	0	0	0	0	1	0
gqa	Ga’anda	Ga’anda	NG	Nigeria	WAF	Western Africa	Africa	43000	5	43000	1	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern	10.1414	12.3801	4	T	1	0	0	0	0	0
gqi	Guiqiong	Guiqiong	CN	China	EAS	Eastern Asia	Asia	6000	4	6000	1	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, Qiangic	30.4766	102.1238	6b	F	0	0	0	1	0	0
gqn	Guana	Guana	BR	Brazil	SAM	South America	Americas	0	0		1	Maipurean	Maipurean, Southern, Southern Outlier, Terena	-21.0685	-56.2765	9	F	0	0	0	0	1	0
gqr	Gor	Gor	TD	Chad	MAF	Middle Africa	Africa	149000	6	149000	1	Nilo-Saharan	Nilo-Saharan, Satellite-Core, Satellites, Central Sudanic, West, Bongo-Bagirmi, Sara-Bagirmi, Sara, Sara Proper	8.0422	17.1218	6a	T	0	0	1	0	0	0
gqu	Qau	Qau	CN	China	EAS	Eastern Asia	Asia	2000	4	2000	1	Kra-Dai	Kra-Dai, Kra, Western Kra	26.1655	106.2428	8b	F	0	0	0	0	1	0
gra	Garasia, Rajput	Rajput Garasia	IN	India	SAS	Southern Asia	Asia	76700	5	76700	1	Indo-European	Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil	24.9492	73.1036	5	T	0	1	0	0	0	0
grc	Greek, Ancient	Ancient Greek	GR	Greece	SEU	Southern Europe	Europe	0	0		1	Indo-European	Indo-European, Greek, Attic	39.5699	21.7430	9	T	0	0	0	0	1	0
grd	Guruntum-Mbaaru	Guruntum-Mbaaru	NG	Nigeria	WAF	Western Africa	Africa	15000	5	15000	1	Afro-Asiatic	Afro-Asiatic, Chadic, West, B, B.3, Guruntum	10.1757	9.9859	8a	F	0	0	0	0	1	0
